datetime,date,year,month,day,hour,time_period,season,city,wind_speed,NA,solar_radiation,dew_point,humidity,temperature,wind_direction,quality_flag
2025-12-19T07:00:02Z,2025-12-19,2025,December,19,7,Morning,Winter,Bizerte,4.72,339.53333333333336,0,15.7,100,15.7,135.1,ok
2025-12-19T05:00:02Z,2025-12-19,2025,December,19,5,Night,Winter,Bizerte,1.09,339.56666666666666,0,15.3,100,15.3,329.5,ok
2025-12-19T03:00:02Z,2025-12-19,2025,December,19,3,Night,Winter,Bizerte,0.77,339.8666666666667,0,15.3,100,15.3,98.7,ok
2025-12-18T23:00:02Z,2025-12-18,2025,December,18,23,Evening,Winter,Bizerte,0.21,340.03333333333336,0,15.3,93.8,16.3,45.9,ok
2025-12-18T21:00:02Z,2025-12-18,2025,December,18,21,Evening,Winter,Bizerte,0.8,339.90000000000003,0,15.4,88.2,17.4,74.4,ok
2025-12-18T19:00:02Z,2025-12-18,2025,December,18,19,Evening,Winter,Bizerte,0.66,339.8333333333333,0,15.9,92.8,17.1,9.3,ok
2025-12-18T17:00:02Z,2025-12-18,2025,December,18,17,Afternoon,Winter,Bizerte,0.26,339.7,0,16.3,87.8,18.4,20.6,ok
2025-12-18T15:00:02Z,2025-12-18,2025,December,18,15,Afternoon,Winter,Bizerte,2.98,339.59999999999997,62,15.8,76.8,20,111.8,ok
2025-12-18T13:00:02Z,2025-12-18,2025,December,18,13,Afternoon,Winter,Bizerte,0.52,339.7,233,18.1,100,18.1,260.7,ok
2025-12-18T11:00:02Z,2025-12-18,2025,December,18,11,Morning,Winter,Bizerte,1.48,340.06666666666666,131,16.4,100,16.4,185.2,ok
2025-12-18T09:00:02Z,2025-12-18,2025,December,18,9,Morning,Winter,Bizerte,0.83,339.90000000000003,97,15.1,100,15.1,222.5,ok
2025-12-18T07:00:02Z,2025-12-18,2025,December,18,7,Morning,Winter,Bizerte,0.78,339.76666666666665,0,14.2,100,14.2,313.1,ok
2025-12-18T05:00:02Z,2025-12-18,2025,December,18,5,Night,Winter,Bizerte,1.61,339.43333333333334,0,15.1,100,15.1,242.5,ok
2025-12-18T03:00:02Z,2025-12-18,2025,December,18,3,Night,Winter,Bizerte,0.82,339.59999999999997,0,14.8,100,14.8,308.9,ok
2025-12-18T01:00:02Z,2025-12-18,2025,December,18,1,Night,Winter,Bizerte,0.47,339.53333333333336,0,14.8,100,14.8,224.3,ok
2025-12-17T23:00:02Z,2025-12-17,2025,December,17,23,Evening,Winter,Bizerte,1.24,339.5,0,14.3,100,14.3,311.1,ok
2025-12-17T21:00:02Z,2025-12-17,2025,December,17,21,Evening,Winter,Bizerte,0.66,339.23333333333335,0,14.4,100,14.4,297.3,ok
2025-12-17T19:00:02Z,2025-12-17,2025,December,17,19,Evening,Winter,Bizerte,0.68,339.03333333333336,0,13.2,85.4,15.7,148.4,ok
2025-12-17T17:00:02Z,2025-12-17,2025,December,17,17,Afternoon,Winter,Bizerte,0.45,338.59999999999997,3,13.8,80.6,17.2,58.5,ok
2025-12-17T15:00:02Z,2025-12-17,2025,December,17,15,Afternoon,Winter,Bizerte,3.13,338.26666666666665,220,12.7,62.4,20.1,140.3,ok
