Date,nom_ar,nom_fr,unite,valeur
2025-12-19 07:00:02,Vitesse du vent,Vitesse du vent,m/s,4.72
2025-12-19 07:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19 07:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-19 07:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1018.6
2025-12-19 07:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19 07:00:02,Point de Rosée,Point de Rosée,°C,15.7
2025-12-19 07:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-19 07:00:02,Température,Température,°C,15.7
2025-12-19 07:00:02,Direction du vent,Direction du vent,Deg,135.1
2025-12-19 05:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19 05:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-19 05:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19 05:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1018.7
2025-12-19 05:00:02,Point de Rosée,Point de Rosée,°C,15.3
2025-12-19 05:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-19 05:00:02,Température,Température,°C,15.3
2025-12-19 05:00:02,Direction du vent,Direction du vent,Deg,329.5
2025-12-19 05:00:02,Vitesse du vent,Vitesse du vent,m/s,1.09
2025-12-19 03:00:02,Direction du vent,Direction du vent,Deg,98.7
2025-12-19 03:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-19 03:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-19 03:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1019.6
2025-12-19 03:00:02,Vitesse du vent,Vitesse du vent,m/s,0.77
2025-12-19 03:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-19 03:00:02,Point de Rosée,Point de Rosée,°C,15.3
2025-12-19 03:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-19 03:00:02,Température,Température,°C,15.3
2025-12-18 23:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-18 23:00:02,Direction du vent,Direction du vent,Deg,45.9
2025-12-18 23:00:02,Température,Température,°C,16.3
2025-12-18 23:00:02,Humidité relative,Humidité relative,%,93.8
2025-12-18 23:00:02,Point de Rosée,Point de Rosée,°C,15.3
2025-12-18 23:00:02,Vitesse du vent,Vitesse du vent,m/s,0.21
2025-12-18 23:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1020.1
2025-12-18 23:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-18 23:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
