Date,nom_ar,nom_fr,unite,valeur
2025-12-19 05:00:00,Humidité relative,Humidité relative,%,94.6
2025-12-19 05:00:00,Direction du vent,Direction du vent,Deg,115.5
2025-12-19 05:00:00,Température,Température,°c,11.9
2025-12-19 05:00:00,Vitesse du vent,Vitesse du vent,m/s,2.07
2025-12-19 05:00:00,Point de Rosée,Point de Rosée,°c,11.0
2025-12-19 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.1
2025-12-19 04:00:00,Température,Température,°c,11.7
2025-12-19 04:00:00,Point de Rosée,Point de Rosée,°c,11.4
2025-12-19 04:00:00,Humidité relative,Humidité relative,%,98.2
2025-12-19 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.3
2025-12-19 04:00:00,Direction du vent,Direction du vent,Deg,96.6
2025-12-19 04:00:00,Vitesse du vent,Vitesse du vent,m/s,2.46
2025-12-19 03:00:00,Température,Température,°c,12.3
2025-12-19 03:00:00,Direction du vent,Direction du vent,Deg,55.1
2025-12-19 03:00:00,Vitesse du vent,Vitesse du vent,m/s,1.37
2025-12-19 03:00:00,Point de Rosée,Point de Rosée,°c,10.9
2025-12-19 03:00:00,Humidité relative,Humidité relative,%,90.9
2025-12-19 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.5
2025-12-19 02:00:00,Température,Température,°c,12.4
2025-12-19 02:00:00,Point de Rosée,Point de Rosée,°c,11.3
2025-12-19 02:00:00,Humidité relative,Humidité relative,%,93.0
2025-12-19 02:00:00,Direction du vent,Direction du vent,Deg,97.2
2025-12-19 02:00:00,Vitesse du vent,Vitesse du vent,m/s,2.12
2025-12-19 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.4
2025-12-19 00:00:00,Température,Température,°c,12.6
2025-12-19 00:00:00,Point de Rosée,Point de Rosée,°c,10.0
2025-12-19 00:00:00,Direction du vent,Direction du vent,Deg,105.2
2025-12-19 00:00:00,Vitesse du vent,Vitesse du vent,m/s,1.75
2025-12-19 00:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.6
2025-12-19 00:00:00,Humidité relative,Humidité relative,%,84.3
2025-12-18 23:00:00,Température,Température,°c,12.5
2025-12-18 23:00:00,Point de Rosée,Point de Rosée,°c,11.7
2025-12-18 23:00:00,Vitesse du vent,Vitesse du vent,m/s,3.23
2025-12-18 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.6
2025-12-18 23:00:00,Humidité relative,Humidité relative,%,95.0
2025-12-18 23:00:00,Direction du vent,Direction du vent,Deg,115.1
2025-12-18 22:00:00,Température,Température,°c,12.6
2025-12-18 22:00:00,Point de Rosée,Point de Rosée,°c,11.3
2025-12-18 22:00:00,Humidité relative,Humidité relative,%,91.8
2025-12-18 22:00:00,Direction du vent,Direction du vent,Deg,102.3
2025-12-18 22:00:00,Vitesse du vent,Vitesse du vent,m/s,1.4
2025-12-18 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.6
2025-12-18 21:00:00,Point de Rosée,Point de Rosée,°c,10.8
2025-12-18 21:00:00,Humidité relative,Humidité relative,%,87.7
2025-12-18 21:00:00,Température,Température,°c,12.8
2025-12-18 21:00:00,Direction du vent,Direction du vent,Deg,88.4
2025-12-18 21:00:00,Vitesse du vent,Vitesse du vent,m/s,1.28
2025-12-18 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.9
2025-12-18 20:00:00,Vitesse du vent,Vitesse du vent,m/s,0.99
2025-12-18 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.9
2025-12-18 20:00:00,Direction du vent,Direction du vent,Deg,68.7
2025-12-18 20:00:00,Température,Température,°c,12.3
2025-12-18 20:00:00,Humidité relative,Humidité relative,%,99.1
