Date,nom_ar,nom_fr,unite,valeur
2026-01-06 14:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,437.0
2026-01-06 14:00:00,Humidité relative,Humidité relative,%,50.3
2026-01-06 14:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.8
2026-01-06 14:00:00,Température,Température,°C,19.1
2026-01-06 14:00:00,Point de Rosée,Point de Rosée,°C,8.5
2026-01-06 14:00:00,Direction du vent,Direction du vent,Deg,28.9
2026-01-06 14:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 14:00:00,Vitesse du vent,Vitesse du vent,m/s,1.06
2026-01-06 13:00:00,Point de Rosée,Point de Rosée,°C,8.2
2026-01-06 13:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,479.0
2026-01-06 13:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1003.0
2026-01-06 13:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 13:00:00,Vitesse du vent,Vitesse du vent,m/s,2.94
2026-01-06 13:00:00,Humidité relative,Humidité relative,%,48.7
2026-01-06 13:00:00,Température,Température,°C,19.3
2026-01-06 13:00:00,Direction du vent,Direction du vent,Deg,286.5
2026-01-06 12:00:00,Vitesse du vent,Vitesse du vent,m/s,1.58
2026-01-06 12:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 12:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1003.6
2026-01-06 12:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,478.0
2026-01-06 12:00:00,Point de Rosée,Point de Rosée,°C,8.0
2026-01-06 12:00:00,Humidité relative,Humidité relative,%,49.7
2026-01-06 12:00:00,Température,Température,°C,18.7
2026-01-06 12:00:00,Direction du vent,Direction du vent,Deg,315.2
2026-01-06 11:00:00,Point de Rosée,Point de Rosée,°C,8.2
2026-01-06 11:00:00,Vitesse du vent,Vitesse du vent,m/s,0.61
2026-01-06 11:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 11:00:00,Humidité relative,Humidité relative,%,52.5
2026-01-06 11:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1003.9
2026-01-06 11:00:00,Direction du vent,Direction du vent,Deg,234.7
2026-01-06 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,417.0
2026-01-06 11:00:00,Température,Température,°C,18.1
2026-01-06 10:00:00,Direction du vent,Direction du vent,Deg,271.8
2026-01-06 10:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 10:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1003.6
2026-01-06 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,319.0
2026-01-06 10:00:00,Point de Rosée,Point de Rosée,°C,8.7
2026-01-06 10:00:00,Humidité relative,Humidité relative,%,58.6
2026-01-06 10:00:00,Température,Température,°C,16.9
2026-01-06 10:00:00,Vitesse du vent,Vitesse du vent,m/s,3.08
2026-01-06 09:00:00,Point de Rosée,Point de Rosée,°C,8.5
2026-01-06 09:00:00,Température,Température,°C,14.6
2026-01-06 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 09:00:00,Direction du vent,Direction du vent,Deg,232.8
2026-01-06 09:00:00,Vitesse du vent,Vitesse du vent,m/s,1.61
2026-01-06 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,177.0
2026-01-06 09:00:00,Humidité relative,Humidité relative,%,67.0
2026-01-06 09:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.7
2026-01-06 08:00:00,Point de Rosée,Point de Rosée,°C,8.0
2026-01-06 08:00:00,Humidité relative,Humidité relative,%,71.4
2026-01-06 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 08:00:00,Température,Température,°C,13.0
2026-01-06 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,32.0
2026-01-06 08:00:00,Direction du vent,Direction du vent,Deg,197.3
2026-01-06 08:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.0
2026-01-06 08:00:00,Vitesse du vent,Vitesse du vent,m/s,2.05
2026-01-06 07:00:00,Point de Rosée,Point de Rosée,°C,8.0
2026-01-06 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.1
2026-01-06 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 07:00:00,Humidité relative,Humidité relative,%,72.4
2026-01-06 07:00:00,Température,Température,°C,12.8
2026-01-06 07:00:00,Direction du vent,Direction du vent,Deg,226.5
2026-01-06 07:00:00,Vitesse du vent,Vitesse du vent,m/s,2.18
2026-01-06 06:00:00,Température,Température,°C,12.7
2026-01-06 06:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 06:00:00,Direction du vent,Direction du vent,Deg,234.4
2026-01-06 06:00:00,Vitesse du vent,Vitesse du vent,m/s,0.34
2026-01-06 06:00:00,Humidité relative,Humidité relative,%,73.2
2026-01-06 06:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.0
2026-01-06 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 06:00:00,Point de Rosée,Point de Rosée,°C,8.0
2026-01-06 05:00:00,Température,Température,°C,13.5
2026-01-06 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.5
2026-01-06 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 05:00:00,Point de Rosée,Point de Rosée,°C,8.1
2026-01-06 05:00:00,Humidité relative,Humidité relative,%,69.8
2026-01-06 05:00:00,Direction du vent,Direction du vent,Deg,220.7
2026-01-06 05:00:00,Vitesse du vent,Vitesse du vent,m/s,1.72
2026-01-06 04:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.39
2026-01-06 04:00:00,Humidité relative,Humidité relative,%,67.1
2026-01-06 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-06 04:00:00,Température,Température,°C,14.1
2026-01-06 04:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.8
2026-01-06 04:00:00,Direction du vent,Direction du vent,Deg,217.1
2026-01-06 04:00:00,Point de Rosée,Point de Rosée,°C,8.1
